,0
Congressman Jamie Comer,James R. Comer Jr.
Congressman Conor lamb,Conor James Lamb
Judge Amanda Green-Hawkins,Mark E. Green
Andy Beshear,Garland Hale Barr IV
Calvin Creighton,Henry Calvin Johnson Jr.
Commissioner Vincent A. Vicites,Marc Allison Veasey
Senator John Yudichak,John Thomas Graves Jr.
Representative Chris Sainato,Christopher A. Coons
West Virginia Democratic Party,Virginia Ann Foxx
State Rep Bill Kortz,David Bennett McKinley
County Clerk Of Courts Timothy Dye,Patrick Timothy McHenry
Candidate Gregory Stumbo,Gregory Paul Walden
Candidate Heather French Henry,Christopher Henry Smith
Candidate Michael Bowman,Eric Michael Swalwell
Candidate Robert H. Conway,Christopher J. Van Hollen Jr.
Candidate Christopher Shea Nickell,Todd Christopher Young
Supervisor Daniel T. Kremer,Michael T. McCaul
Westmoreland County Register of Will Katie,William Hurd
"Anthony G. Shea, Jr Armstrong County Commissioner",Kelly M. Armstrong
Congressman Dave McKinley,David Bennett McKinley
Mayor Charlie Wyatt,Charles Joseph Crist
Congressman Conor Lamb,Conor James Lamb
Congressman Debbie Dingell,Deborah Ann   Dingell
Majority Whip Steny Hoyer,Steny Hamilton Hoyer
Congressman DeSaulnier,Mark James DeSaulnier
Congressman Mike Bost,Michael J. Bost
Green County Sheriff Marcus Simms,Alexander Green
Commissioner Ted Kopas,Rafael Edward Cruz
Congresswomen Jennifer Wexton,Jennifer T. Wexton
Congressman John Yarmuth,John Allen Yarmuth
Congressman Don Bacon,Donald John Bacon
Sheriff Lou Sacco,Jose Luis Correa
Green County Democratic Committee,Mark E. Green
Congressman Mark Veasey,Marc Allison Veasey
Congresswoman Alma Adams,Alma Shealey Adams
Congressman Al Lawson,Alfred J. Lawson Jr.
Congressman Tom O' Hallerhan,Tom O'Halleran
Councilman John F. Palmiere,John Thomas Graves Jr.
Congressman Matt Cartwright,Matthew Alton Cartwright
Congressman Mark Pocan,Mark Pocan
Congressman Al Green,Alexander Green
Congresswoman Madeleine Dean,Madeleine Dean Cunnane
Congressman Andy Kim,Andrew Kim
Congressman Michael Turner,Michael R. Turner
Congresswoman Nita Lowey,Nita Melnikoff Lowey
Xotchi Torres Small,Xochitl Liana A.I. Torres-Small
Cong. Spanberger,Abigail Anne D. Spanberger
Cong. Allred,Colin Allred
Cong. Houlahan,Christina Jampoler Houlahan
Mary Miller,Carol Devine Miller
Jeff Merkley for U.S. Senate,Jeffrey Alan Merkley
Jeffrey M. Landry,Lee Michael Zeldin
Senator Jim Risch (R-ID),James Elroy Risch
MARSHA BLACKBURN,Marsha Blackburn
CHUCK FLEISCHMANN,Charles J. Fleischmann
MICHAEL SIMPSON,Michael Keith Simpson
John Hoadley,John Thomas Graves Jr.
Sen. Marsha Blackburn Leadership PAC,Marsha Blackburn
The Honorable Ron Estes,Ron Estes
The Honorable Todd Young,Todd Christopher Young
The Honorable Dave Schweikert,David S. Schweikert
The Honorable Lee Zeldin,Lee Michael Zeldin
Henry 'Hank' Johnson,Henry Calvin Johnson Jr.
Jamie Herrera Beutler,Jaime Lynn Herrera Beutler
Louise Slaughter,Diana Louise DeGette
Rep. Rick R. Larsen,Richard Ray Larsen
Rep. Devin  Nunes,Devin Gerald Nunes
Rep. Bobby L. Rush,Bobby Lee Rush
Rep. Jackie  Speier,Karen Lorraine Jacqueline Speier
Rep. Salud  Carbajal,Salud O. Carbajal
BE OF GOOD CHEER PAC,Brian Emanuel Schatz
Rep. Suzanne M. Bonamici,Suzanne M. Bonamici
Rep. Christopher C. Pappas,Christopher C. Pappas
Rep. Debbie  Mucarsel-Powell,Debbie Mucarsel-Powell
GIVING WILLINGLY EMPOWERING NATIONALLY (GWEN) PAC,Gwendolynne Sophia Moore
JOINING IDEAS TO MOTIVATE MOVEMENT FOR YOU (JIMMY PAC),James Varni Panetta
Rep. Betty  McCollum,Betty McCollum
Rep. Tony  Cardenas,Antonio Cardenas
WOMEN TO WOMEN NETWORK PAC  D/B/A WOMEN2WOMEN PAC,Neal Patrick Dunn
Rep. Joe P. Kennedy III,Joseph Patrick Kennedy III
Rep. Susan  Davis,Susan A. Davis
Rep. Anthony G. Brown,Anthony Gregory Brown
Rep. Bill  Foster,George William Foster
Rep. Ed E. Case,Edward Espenett Case
Sen. Chris J. Van Hollen Jr.,Christopher J. Van Hollen Jr.
Rep. Ami  Bera,Amerish Bera
Rep. Doug  LaMalfa,Doug LaMalfa
Rep. Elissa B. Slotkin,Elissa B. Slotkin
Rep. Thomas E. Emmer Jr.,Thomas Earl Emmer Jr.
Rep. Lauren A. Underwood,Lauren A. Underwood
Rep. Louie B. Gohmert Jr.,Louis Buller Gohmert Jr.
Rep. Mike  Bost,Michael J. Bost
Rep. Peter A. Stauber,Peter Allen Stauber
Rep. Jim P. McGovern,James P. McGovern
Rep. Scott  Peters,Scott H. Peters
Rep. Randy  Weber,Randy Weber
Rep. Chrissy Jampoler Houlahan,Christina Jampoler Houlahan
Rep. Al  Green,Alexander Green
BELIEF IN LIFE AND LIBERTY POLITICAL ACTION COMMITTEE (BILL'S PAC),William H. Flores
Rep. Kevin P. Brady,Kevin Patrick Brady
Rep. Joaquin  Castro,Joaquin Castro
Rep. Colin  Allred,Colin Allred
Rep. Daniel  Crenshaw,Daniel Crenshaw
Rep. Lloyd A. Doggett II,Lloyd Alton Doggett II
Rep. Eddie Bernice  Johnson,Eddie Bernice Johnson
Rep. Bill  Posey,William J. Posey
Rep. Garret N. Graves,Garret N. Graves
Rep. Kay N. Granger,Kay N. Mullendore Granger
Rep. Kevin  McCarthy,Kevin O. McCarthy
Rep. Lance  Gooden,Lance Gooden
Rep. Madeleine  Dean,Madeleine Dean Cunnane
Rep. Michael T. McCaul,Michael T. McCaul
Rep. Michael C. Burgess,Michael C. Burgess
Rep. Roger  Williams,John Roger Williams
Rep. Ronald J. Wright,Ronald J. Wright
Rep. Henry R. Cuellar,Henry R. Cuellar
Rep. Jodey  Arrington,Jodey Cook Arrington
THE PETER NORBECK LEADERSHIP PAC,John Peter Spyros Sarbanes
THE VIRGINIA VICTORY FUND INC.,Virginia Ann Foxx
Rep. Vicente  Gonzalez,Vicente Gonzalez
VICKY PAC,Vicky Jo Hartzler
Rep. Alan  Lowenthal,Alan S. Lowenthal
Rep. Barbara  Lee,Barbara J. Lee
Rep. Bill R. Keating,William Richard Keating
Rep. Gil  Cisneros,Gilbert Cisneros
Rep. Maxine  Waters,Maxine Waters
Rep. Linda  Sanchez,Linda T. Sanchez
Rep. Rick  Crawford,Eric Alan Crawford
Rep. David C. Rouzer,David Cheston Rouzer
Rep. Brian  Babin,Brian Babin
Rep. Jahana  Hayes,Jahana Hayes
Rep. John  Garamendi,John Raymond Garamendi
Rep. Haley  Stevens,Haley Stevens
Rep. Harley  Rouda,Harley E. Rouda Jr.
DAVID PAC DELIVERING AMERICAN VALUES IN DC,David Wayne Loebsack
Rep. David  Schweikert,David S. Schweikert
Rep. David A. Scott,David Albert Scott
Rep. Debbie  Lesko,Debbie Lesko
Rep. Mike F. Doyle Jr.,Michael Francis Doyle Jr.
Rep. French  Hill,James French Hill
Rep. Ruben  Gallego,Ruben Gallego
Rep. Jim E. Banks,James E. Banks
Rep. Steve A. King,Steven A. King
Rep. Ann  Kirkpatrick,Ann Leila Kirkpatrick
Rep. Morgan  Griffith,Howard Morgan Griffith
Rep. Paul  Gosar,Paul Anthony Gosar
Rep. Chellie M. Pingree,Rochelle M. Pingree
Rep. Ron  Estes,Ron Estes
Rep. Sharice  Davids,Sharice Davids
Rep. Greg  Stanton,Greg Stanton
Rep. Tom  O'Halleran,Tom O'Halleran
Rep. Bruce  Westerman,Bruce Westerman
Rep. Steve  Womack,Stephen A. Womack
Rep. Andy P. Harris,Andrew Peter Harris
Rep. Angie  Craig,Angela Dawn Craig
Rep. Bill  Johnson,William Johnson
Sen. Christopher A. Coons,Christopher A. Coons
Rep. Donna  Shalala,Donna E. Shalala
Rep. Dutch  Ruppersberger III,Charles Albert Ruppersberger III
Rep. Gary  Palmer,Gary James Palmer
Rep. Bob B. Gibbs,Robert Brian Gibbs
Rep. Susie K. Lee,Suzanne Kelley Lee
Rep. Bobby C. Scott,Robert Cortez Scott
Rep. Jared F. Golden,Jared F. Golden
Rep. Filemon B. Vela,Filemon B. Vela
Rep. Mikie  Sherrill,Rebecca Michelle Sherrill
Sen. Mike  Rounds,Marion Michael Rounds
Rep. Mac  Thornberry,William McClellan Thornberry
Rep. Al  Lawson,Alfred J. Lawson Jr.
Rep. Gus  Bilirakis,Gus Michael Bilirakis
Rep. James R. Comer Jr.,James R. Comer Jr.
Sen. Deb  Fischer,Debra Strobel Fischer
DEVELOPING A NEW GENERATION PAC (DANG PAC),Alexander Green
E-PAC,Veronica Escobar
Rep. Lucy  McBath,Lucia Kay McBath
Rep. Michael F.Q. San Nicolas,Michael Franklin Quitugua San Nicolas
Rep. Mike  Thompson,Charles Michael Thompson
Rep. Alex X. Mooney,Alexander Xavier Mooney
Sen. Brian E. Schatz,Brian Emanuel Schatz
Rep. Stephanie  Murphy,Stephanie Murphy
Rep. Dina  Titus,Alice Costandina Titus
TOGETHER HOLDING OUR MAJORITY PAC,George Edward Bell Holding
Rep. Van  Taylor,Nicholas Van Taylor
Rep. Juan  Vargas,Juan Carlos Vargas
Rep. Steve E. Stivers,Steven E. Stivers
Rep. Ann L. Wagner,Ann Louise Wagner
Rep. Andy  Biggs,Andy Biggs
Sen. Bill  Cassidy,William Cassidy
Rep. Clay  Higgins,Clay Higgins
Rep. Cindy  Axne,Cindy Axne
Rep. Don J. Bacon,Donald John Bacon
Rep. Abby  Finkenauer,Abby Finkenauer
Rep. Dave P. Joyce,David P. Joyce
Rep. Denver L. Riggleman III,Denver Lee Riggleman III
Rep. Glenn W. Thompson Jr.,Glenn William Thompson
Rep. Matt  Gaetz,Matthew Gaetz
Rep. Scott E. DesJarlais,Scott Eugene DesJarlais
Rep. Scott  Tipton,Scott Randall Tipton
Sen. Sherrod C. Brown,Sherrod Campbell Brown
Rep. Brett  Guthrie,Steven Brett Guthrie
Rep. Hal D. Rogers,Harold Dallas Rogers
Rep. Jason T. Smith,Jason T. Smith
Rep. Jeff D. Duncan,Jeffrey Darren Duncan
Rep. Jeff L. Fortenberry,Jeffrey Lane Fortenberry
Sen. Joni K. Ernst,Joni Kay   Ernst
Rep. Kendra  Horn,Kendra Horn
Rep. Doug  Lamborn,Douglas L. Lamborn
Rep. Frank D. Lucas,Frank Dean Lucas
Rep. Mike  Johnson,James Michael Johnson
Rep. Markwayne  Mullin,Markwayne Mullin
Rep. Ralph L. Abraham Jr.,Ralph Lee Abraham Jr.
Sen. Jack F. Reed,John Francis Reed
Rep. Cedric L. Richmond,Cedric Levon Richmond
Rep. Ross  Spano,Vincent Ross Spano
Rep. TJ  Cox,Terrence John Cox
Sen. Tammy  Duckworth,Ladda Tammy Duckworth Bowlsbey
Rep. Earl  Blumenauer,Earl Blumenauer
Rep. Brian  Mast,Brian Mast
Rep. Jim H.S. Cooper,James Hayes Shofner Cooper
Rep. Peter A. DeFazio,Peter Anthony DeFazio
Rep. Gerry E. Connolly,Gerald Edward Connolly
Rep. Julia  Brownley,Julia Brownley
Rep. Michael J. Gallagher,Michael John Gallagher
Rep. Susan Ellis Wild,Susan Ellis Wild
Rep. Jim  Baird,James Richard Baird
Rep. Gregory  Pence,Gregory J. Pence
Rep. Jim D. Jordan,James D. Jordan
Rep. Kurt  Schrader,Walter Kurt Schrader
Rep. Lois  Frankel,Lois J. Frankel
Rep. Ted  Lieu,Ted W. Lieu
Rep. Trey  Hollingsworth III,Joseph A. Hollingsworth III
Rep. Jackie Swihart Walorski,Jacquelyn Swihart Walorski
A NEW DIRECTION PAC,Andrew Lamar Alexander
Rep. Austin  Scott,James Austin Scott
Rep. Troy  Balderson,William Troy Balderson
Rep. Kathy  Castor,Katherine Anne Castor
Rep. Cathy A. McMorris Rodgers,Cathy Ann McMorris Rodgers
Rep. Charlie  Crist,Charles Joseph Crist
Rep. Donald M. Payne Jr.,Donald Milford Payne Jr.
Rep. Jason  Crow,Jason Crow
Rep. Ken  Calvert,Kenneth Stanton Calvert
Rep. Warren  Davidson,Warren Davidson
Rep. Marcy C. Kaptur,Marcia Carolyn Kaptur
Sen. Mitch  McConnell,Addison Mitchell McConnell
Rep. Jerry  McNerney,Gerald Mark McNerney
Rep. Mike  Kelly Jr.,George J. Kelly Jr.
Rep. Mike  Levin,Mike Levin
Rep. Norma  Torres,Norma J. Torres
Rep. Abigail  Spanberger,Abigail Anne D. Spanberger
Rep. Steve  Chabot,Steven Joseph Chabot
Rep. Tim J. Ryan,Timothy J. Ryan
Rep. Dan  Bishop,James Daniel Bishop
Rep. Sean  Casten,Sean Casten
Rep. Joe  Courtney,Joseph D. Courtney
Rep. Darren  Soto,Darren Michael Soto
Rep. Debbie  Dingell,Deborah Ann   Dingell
Rep. Raul  Ruiz,Raul Ruiz
Rep. Ben  McAdams,Ben McAdams
Rep. Mark  Takano,Mark Allan Takano
Rep. Doris  Matsui,Doris Okada Matsui
Rep. A. Donald  McEachin,Aston Donald McEachin
Rep. Bill J. Pascrell Jr.,William J. Pascrell Jr.
PROTECTING AMERICANS CHALLENGING OPPRESSION (PACO) PAC,Juan Carlos Vargas
Rep. John L. Ratcliffe,John Lee Ratcliffe
TOGETHER EVERYONE REALIZES REAL IMPACT AKA TERRI PAC,Terrycina Andrea Sewell
Rep. G.K.  Butterfield Jr.,George Kenneth Butterfield Jr.
Rep. Alma S. Adams,Alma Shealey Adams
Rep. Andy  Levin,Andy Levin
Rep. Cheri L. Bustos,Cheryl L. Bustos
Rep. Dan T. Kildee,Daniel Timothy Kildee
Rep. Ilhan  Omar,Ilhan Omar
Rep. Jim  Himes,James A. Himes
Rep. Joe  Neguse,Joseph D. Neguse
Rep. Justin  Amash,Justin Amash
Rep. Adam D. Kinzinger,Adam Daniel Kinzinger
Rep. John  Larson,John B. Larson
Rep. Ed  Perlmutter,Edwin G. Perlmutter
Rep. Adam  Schiff,Adam Bennett Schiff
Rep. Xochitl Liana I. Torres-Small,Xochitl Liana A.I. Torres-Small
ABRAHAM LINCOLN PAC,Ralph Lee Abraham Jr.
Rep. Wm. Lacy  Clay,William Lacy Clay Jr.
Rep. Jared  Huffman,Jared William Huffman
Rep. Zoe  Lofgren,Zoe Lofgren
Rep. Lou  Correa,Jose Luis Correa
RESTORING OUR NATION (RON) PAC,Ronald Lee Wyden
RICE AMERICA PAC-REPUBLICANS IN CONGRESS EMPOWERING AMERICA,Hugh Thompson Rice Jr.
Rep. Bradley S. Schneider,Bradley Scott Schneider
Rep. Tom  Malinowski,Tomasz P. Malinowski
Rep. Mark E. Amodei,Mark Eugene Amodei
Rep. Doug A. Collins,Douglas Allen Collins
Rep. John  Joyce,John Joyce
Rep. Greg  Steube,W. Gregory Steube
Rep. Alcee L. Hastings,Alcee Lamar Hastings
Rep. Bill P. Huizenga,William P. Huizenga
Sen. Josh  Hawley,Joshua David Hawley
Rep. Sheila  Jackson Lee,Sheila Jackson Lee
Rep. Vern  Buchanan,Vernon G. Buchanan
Rep. Veronica  Escobar,Veronica Escobar
Rep. Don  Young,Donald Edwin Young
Rep. Andy  Barr IV,Garland Hale Barr IV
Rep. Andrew  Kim,Andrew Kim
Rep. Ken  Buck,Kenneth R. Buck
Rep. Daniel  Webster,Daniel A. Webster
Rep. Antonio  Delgado,Antonio Delgado
Rep. Jim  Costa,James Manuel Costa
Rep. Jimmy  Gomez,Jimmy Gomez
Rep. Jimmy  Panetta,James Varni Panetta
Rep. Josh  Harder,Josh Harder
Rep. Judy  Chu,Judy Chu
Rep. Karen  Bass,Karen R. Bass
Rep. Katie  Porter,Katherine Porter
Rep. Lucille  Roybal-Allard,Lucille Roybal-Allard
Rep. Mark  DeSaulnier,Mark James DeSaulnier
Rep. Nancy  Pelosi,Nancy Patricia Pelosi
Rep. Pete  Aguilar,Peter R. Aguilar
Rep. Brad  Sherman,Brad James Sherman
Rep. Eric  Swalwell,Eric Michael Swalwell
Rep. Daniel W. Lipinski,Daniel William Lipinski
Rep. Elijah E. Cummings,Elijah Eugene Cummings
Sen. Gary C. Peters,Gary C. Peters
Sen. Rick  Scott,Richard Lynn Scott
Rep. Carol D. Miller,Carol Devine Miller
Rep. Ben  Cline,Benjamin L. Cline
Rep. Neal  Dunn,Neal Patrick Dunn
Rep. Sam B. Graves Jr.,Samuel B. Graves Jr.
Rep. Jaime L. Herrera Beutler,Jaime Lynn Herrera Beutler
Rep. John M. Katko,John M. Katko
Sen. Jeanne  Shaheen,Jeanne Shaheen
Rep. Ted  Yoho,Theodore Scott Yoho
TOMORROW IS MEANINGFUL PAC-TIM PAC,Timothy J. Ryan
Rep. Peter F. Welch,Peter F. Welch
Rep. Don S. Beyer Jr.,Donald Sternoff Beyer Jr.
Rep. James  Hagedorn,James Hagedorn
Rep. Gregory F. Murphy,Gregory Francis Murphy
Rep. Grace  Meng,Grace Meng
Rep. Mike  Rogers,Michael Dennis Rogers
Rep. Frank J. Pallone Jr.,Frank Joseph Pallone Jr.
Rep. Paul D. Tonko,Paul David Tonko
Rep. Sean P. Maloney,Sean Patrick Maloney
Rep. Terri  Sewell,Terrycina Andrea Sewell
Rep. Tom W. Reed II,Thomas W. Reed II
Rep. Jeff  Van Drew,Jeff Van Drew
Rep. Adrian M. Smith,Adrian M. Smith
Rep. Jack W. Bergman,John W. Bergman
Rep. Matt  Cartwright,Matthew Alton Cartwright
Rep. Tom J. Cole,Thomas Jeffrey Cole
Rep. Drew  Ferguson IV,Anderson Drew Ferguson IV
Rep. Rosa  DeLauro,Rosa L. DeLauro
Rep. Barry D. Loudermilk,Barry Dean Loudermilk
MAJORITY COMMITTEE PAC--MC PAC,Aston Donald McEachin
Rep. Mario  Diaz-Balart,Mario Diaz-Balart
Sen. Ed  Markey,Edward John Markey
Rep. John  Moolenaar,John Moolenaar
Rep. Scott  Perry,Scott G. Perry
Rep. Rob J. Wittman,Robert J. Wittman
Rep. Albio  Sires,Albio Sires
Rep. Stephen F. Lynch,Stephen F. Lynch
Rep. Steve I. Cohen,Stephen Ira Cohen
Sen. Ted  Cruz,Rafael Edward Cruz
Sen. John  Cornyn III,John Cornyn III
Rep. Tom  Graves Jr.,John Thomas Graves Jr.
Rep. Tom  Rice Jr.,Hugh Thompson Rice Jr.
Rep. Tim L. Walberg,Timothy L. Walberg
Rep. William R. Timmons IV,William R. Timmons IV
Rep. Billy  Long,Billy Long
Rep. Chip  Roy,Charles Roy
Rep. Emanuel  Cleaver II,Emanuel Cleaver II
Rep. Diana  DeGette,Diana Louise DeGette
Rep. Dwight  Evans,Dwight Evans
Rep. Lori  Trahan,Loureiro Trahan
MAKING A RESPONSIBLE STAND FOR HOUSEHOLDS IN AMERICA  (MARSHA PAC),Angus Stanley King Jr.
WILD AND WONDERFUL PAC,Susan Ellis Wild
Rep. Tim  Burchett,Tim Burchett
Sen. Tom  Cotton,Thomas B. Cotton
Senator Patrick J. Toomey,Patrick Joseph Toomey
Michelle Steel,Rebecca Michelle Sherrill
Maria Salazar,Maria E. Cantwell
Don Baer,Barry Dean Loudermilk
Sen. John Hickenlooper,Joni Kay   Ernst
Congressman Eliot Engel ,Eliot Lance Engel
"Gen. Arnold Bunch, Jr.",Christopher J. Van Hollen Jr.
Rep. French Hill ,James French Hill
Eliot Engel ,Eliot Lance Engel
Congresswoman Katherine Porter,Katherine Porter
Congressman Stephen Cohen,Stephen Ira Cohen
Congresswoman Mary Scanlon,Mary Gay Scanlon
Congressman Theodore Deutch,Theodore Eliot Deutch
Senator L. Tammy Duckworth,Ladda Tammy Duckworth Bowlsbey
Congresswoman Pramila Jayapal,Pramila Jayapal
Congresswoman Lucia McBath,Lucia Kay McBath
"William Clifford, MD",William J. Pascrell Jr.
Cong. Hakeem Jeffries,Hakeem S. Jeffries
Cong. Scott Peters,Scott H. Peters
MN House Rep. Campaign Committee (Fed Acct),Stephen F. Lynch
"DesJarlais, Scott",Scott Eugene DesJarlais
"Correa, Lou",Jose Luis Correa
"Emmer, Thomas",Thomas Earl Emmer Jr.
"Kean, Thomas",Thomas Miller McClintock
"Tiffany, Tom",Thomas Miller McClintock
"Coleman, Jeff",Jeffrey Lane Fortenberry
"Rezin, Sue",Jacklyn S. Rosen
"Wright, Ron",Ronald J. Wright
"Murphy, Greg",Gregory Francis Murphy
Representative Hakeem Jeffries ,Hakeem S. Jeffries
Tina Ramirez,Tina Flint Smith
Rep. Debbie Wasserman Schultz (FL-23),Debbie Wasserman Schultz
Rep. Michael Waltz (FL-06),Michael G. Waltz
Rep. Kathy Castor (FL-14) ,Katherine Anne Castor
Rep. John B. Larson (CT-01),John B. Larson
Rep. Vern Buchanan (FL-16),Vernon G. Buchanan
Sen. Rick Scott (FL),Richard Lynn Scott
Rep. Rick Larsen (WA-02),Richard Ray Larsen
Rep. Charlie Crist (FL-13),Charles Joseph Crist
Rep Rick Larsen,Richard Ray Larsen
U.S. Senator Tammy Baldwin,Tammy Suzanne Green Baldwin
Congressman Dutch Ruppersberger ,Charles Albert Ruppersberger III
Nancy Pelosi Victory Fund,Nancy Patricia Pelosi
Sen. Lamar Alexander,Andrew Lamar Alexander
Rep. Theodore Scott Yoho,Theodore Scott Yoho
Zeldin For Congress,Lee Michael Zeldin
Jeanne Shaheen ,Jeanne Shaheen
Kyrsten Sinema ,Kyrsten Sinema
Rep Jan D Schakowsky,Janice D. Schakowsky
Rep. Scott Desjarlais,Timothy Eugene Scott
Rep. Frederica Wilson (This check was later cancelled),Frederica S. Wilson
Rep. Pete Olson,Peter Graham Olson
Sen. Shelly Moore-Capito,Shelley Moore Capito
The Honorable Katherine Clark ,Katherine M. Clark
The Honorable J. Hickenlooper,Jamin B. Raskin
The Honorable Steve Bullock,Steven Alexzander Horsford
The Honorable Jeff Merkley,Jeffrey Alan Merkley
The Honorable Patrick Leahy ,Patrick Joseph Leahy
The Honorable Jim Clyburn,James Enos Clyburn
The Honorable Cal Cunningham,Joseph K. Cunningham
The Honorable Mark Warner ,Mark Robert Warner
The Honorable Doug Jones,Gordon Douglas Jones
The Honorable Dan Lipinski,Daniel William Lipinski
The Honorable Ben Ray Lujan ,Ben Ray Lujan Jr.
The Honorable Tina Smith ,Tina Flint Smith
The Honorable Quigley,Mike Quigley
The Honorable Bob Menendez,Robert Menendez
The Honorable Sherrod Brown,Sherrod Campbell Brown
Rep Brendan Boyle,Brendan F. Boyle
Rep Abigail Spanberger,Abigail Anne D. Spanberger
Rep Xochitl Torres Small,Xochitl Liana A.I. Torres-Small
Beto O'Rourke,Lindsey Olin Graham
Alexandria Ocasio-Cortez ,Alexandria Ocasio-Cortez
"Hern, Kevin, R",Kevin R. Hern
"Huffman, Jared, M",Jared William Huffman
"Sullivan, Dan",Daniel Scott Sullivan
"Kennedy, John, N",John Neely Kennedy
"Manchin, Joseph",Joseph Manchin III
"Wittman, Rob",Robert J. Wittman
"Cartwright, Matthew, A",Matthew Alton Cartwright
"Simpson, Michael, K",Michael Keith Simpson
Hon. Mark Warner,Mark Robert Warner
Hon. Angus King,Angus Stanley King Jr.
Hon. Filemon Vega,Filemon B. Vela
Hon. John Cornyn,John Cornyn III
Hon. James Lankford,James Paul Lankford
Hon. Dave Joyce,David P. Joyce
"Hon. Greg Pence, Hon. Mike Pence",Gregory J. Pence
Hon. Kyrsten Sinema,Kyrsten Sinema
Hon. Ami Bera,Amerish Bera
Hon. Dick Durbin,Richard Joseph Durbin
Hon. Samuel Graves,Samuel B. Graves Jr.
Hon. Clay Higgins,Clay Higgins
Hon. Rodney Davis,Rodney L. Davis
Stefanik for Congress,Elise M. Stefanik
Peter Meijer,John Peter Spyros Sarbanes
The Honorable Rob Wittman,Robert J. Wittman
The Honorable Pete Visclosky,Peter J. Visclosky
The Honorable Tim Ryan,Timothy J. Ryan
Hon. Ken Calvert,Kenneth Stanton Calvert
Hon. Drew Ferguson,Anderson Drew Ferguson IV
Congresswoman Vicky Hartzler,Vicky Jo Hartzler
SC Victory Fund,Sherrod Campbell Brown
David Friedman,David P. Joyce
W. Robert Kohorst,Robert Patrick Casey Jr.
Trent Kelly for Congress,John Trent Kelly
